hotel,price,score,avg review,reviews count,comfort,distancia del centro,nivel de sostenibilidad,información habitación,Desayuno incluido,Cancelación incluida,Municipio,url,fecha_consulta
Skyline Ecoliving Santa Elena,COP 475.520,"['9,2']",['Fantástico'],['54 comentarios'],[],"['a 6,7 km del centro']",['Travel Sustainable Nivel 2'],['Chalet'],"['Chalet', 'Chalet de montaña entero • 2 dormitorios • 1 sala de estar • 1 baño • 1 cocina • 40m²', 'Chalet de montaña entero', '2 dormitorios', '1 sala de estar', '1 baño', '1 cocina', '40m²']",[],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
"Casa completa, para familia numerosa o eventos.",COP 250.000,[],[],[],[],"['a 1,5 km del centro']",[],['Apartamento de 3 dormitorios'],"['Apartamento de 3 dormitorios', 'Apartamento entero • 3 dormitorios • 3 baños • 1 cocina • 150m²', 'Apartamento entero', '3 dormitorios', '3 baños', '1 cocina', '150m²', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Hotel La Casona Laureles,COP 218.760,"['9,0']",['Fantástico'],['2 comentarios'],['Ubicación 10'],['a 2 km del centro'],[],['Habitación Doble Deluxe'],"['Habitación Doble Deluxe', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Hotel Laureles de Aburrá,COP 148.980,"['7,3']",['Bien'],['722 comentarios'],[],['a 2 km del centro'],[],['Habitación Doble - 2 camas'],['Habitación Doble - 2 camas'],[],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
APARTAMENTO LAURELES-ESTADIO,COP 194.400,['10'],['Excepcional'],['2 comentarios'],['Ubicación 10'],"['a 2,1 km del centro']",[],['Apartamento de 1 dormitorio'],"['Apartamento de 1 dormitorio', 'Apartamento entero • 1 dormitorio • 1 sala de estar • 1 baño • 50m²', 'Apartamento entero', '1 dormitorio', '1 sala de estar', '1 baño', '50m²', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Travelers Orange Suites,COP 352.800,"['8,4']",['Muy bien'],['257 comentarios'],"['Ubicación 9,3']","['a 3,1 km del centro']",['Travel Sustainable Nivel 1'],['Habitación Doble Superior - 1 o 2 camas'],"['Habitación Doble Superior - 1 o 2 camas', 'Desayuno incluido']",[],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Confortable Loft en Laureles Medellin.,COP 270.000,[],[],[],[],"['a 2,2 km del centro']",[],['Apartamento de 1 dormitorio'],"['Apartamento de 1 dormitorio', '', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
El Oscar Hotel,COP 133.860,"['6,5']",['Puntuación'],['4 comentarios'],[],['a 2 km del centro'],[],['Habitación Doble'],"['Habitación Doble', 'Desayuno incluido']",[],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
La Cabaña Musical,COP 189.000,"['9,5']",['Excepcional'],['35 comentarios'],"['Ubicación 9,6']","['a 10,5 km del centro']",['Travel Sustainable Nivel 1'],['Chalet'],"['Chalet', 'Chalet de montaña entero • 2 dormitorios • 1 sala de estar • 1 baño • 1 cocina • 45m²', 'Chalet de montaña entero', '2 dormitorios', '1 sala de estar', '1 baño', '1 cocina', '45m²']",[],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
CHALET TANAT,COP 170.100,['10'],['Excepcional'],['1 comentario'],['Ubicación 10'],"['a 9,1 km del centro']",['Travel Sustainable Nivel 2'],['Habitación Doble Pequeña'],"['Habitación Doble Pequeña', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Hotel Nakama,COP 162.000,"['8,8']",['Fabuloso'],['53 comentarios'],"['Ubicación 9,3']","['a 1,8 km del centro']",['Travel Sustainable Nivel 3'],['Habitación Doble Deluxe'],"['Habitación Doble Deluxe', 'Desayuno incluido', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Venecia Loft,COP 156.600,"['8,0']",['Muy bien'],['158 comentarios'],[],"['a 1,4 km del centro']",['Travel Sustainable Nivel 2'],['Apartamento de 1 dormitorio'],"['Apartamento de 1 dormitorio', 'Apartamento entero • 1 dormitorio • 1 baño • 26m²', 'Apartamento entero', '1 dormitorio', '1 baño', '26m²', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Casa Rosales,COP 194.400,"['8,8']",['Fabuloso'],['579 comentarios'],[],"['a 1,5 km del centro']",['Travel Sustainable Nivel 2'],['Habitación Doble'],"['Habitación Doble', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
LLERAS PLACE HOTEL,COP 451.000,[],[],[],[],"['a 3,3 km del centro']",[],['Habitación Cuádruple - vistas al jardín'],"['Habitación Cuádruple - vistas al jardín', '', '']","['Cancelación gratis', 'Sin pago por adelantado']",MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Superb loft in Laureles,COP 342.040,['10'],['Excepcional'],['3 comentarios'],['Ubicación 10'],"['a 1,9 km del centro']",[],['Apartamento'],"['Apartamento', '', '']",['Cancelación gratis'],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
Ayenda Zona Verde,COP 232.900,"['8,1']",['Muy bien'],['229 comentarios'],[],"['a 2,2 km del centro']",[],['Habitación Doble'],['Habitación Doble'],[],MEDELLIN,https://www.booking.com/searchresults.es.html?checkin=2023-11-17&checkout=2023-11-18&selected_currency=COP&ss=MEDELLIN&ssne=MEDELLIN&ssne_untouched=MEDELLIN&lang=es&sb=1&src_elem=sb&src=searchresults&dest_type=city&group_adults=2&no_rooms=1&group_children=0&sb_travel_purpose=leisure&offset=475,2023-10-14
